BIGSEMANA,INÍCIO,TÉRMINO
Bi 02/24,01/01/2024,14/01/2024
Bi 04/24,15/01/2024,28/01/2024
Bi 06/24,29/01/2024,11/02/2024
Bi 08/24,12/02/2024,25/02/2024
Bi 10/24,26/02/2024,10/03/2024
Bi 12/24,11/03/2024,24/03/2024
Bi 14/24,25/03/2024,07/04/2024
Bi 16/24,08/04/2024,21/04/2024
Bi 18/24,22/04/2024,05/05/2024
Bi 20/24,06/05/2024,19/05/2024
Bi 22/24,20/05/2024,02/06/2024
Bi 24/24,03/06/2024,16/06/2024
Bi 26/24,17/06/2024,30/06/2024
Bi 28/24,01/07/2024,14/07/2024
Bi 30/24,15/07/2024,28/07/2024
Bi 32/24,29/07/2024,11/08/2024
Bi 34/24,12/08/2024,25/08/2024
Bi 36/24,26/08/2024,08/09/2024
Bi 38/24,09/09/2024,22/09/2024
Bi 40/24,23/09/2024,06/10/2024
Bi 42/24,07/10/2024,20/10/2024
Bi 44/24,21/10/2024,03/11/2024
Bi 46/24,04/11/2024,17/11/2024
Bi 48/24,18/11/2024,01/12/2024
Bi 50/24,02/12/2024,15/12/2024
Bi 52/24,16/12/2024,29/12/2024
